,Title,Keywords,Actual category,Predicted_Categories
1,"['Identification of genome-scale metabolic network models using experimentally measured flux profiles.', '16839195']","['aberrations', 'amplification', 'broad', 'cancer', 'events', 'focal', 'met', 'systematic']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'chip-seq', 'dna-sequence-databases', 'phylogenetics-and-phylogenomics', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
2,"['ConsensusClusterPlus: a class discovery tool with confidence assessments and item tracking.', '20427518']","['axis', 'cell', 'cells', 'classes', 'computation', 'lesser', 'loop', 'neuronal', 'populations', 'profiled', 'roadmap', 'transcriptional']",genome-annotation2,"['genome-annotation2', 'immunology', 'laser-scanning-microscopy', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq']"
3,"['PTRcombiner: mining combinatorial regulation of gene expression from post-transcriptional interaction maps.', '24758252']","['blood', 'cell', 'cells', 'development', 'network', 'organ', 'single', 'synthesis', 'transcriptional']",single-cell-rna-seq,"['laser-scanning-microscopy', 'single-cell-rna-seq']"
4,"['Shape and secondary structure prediction for ncRNAs including pseudoknots based on linear SVM.', '23369147']","['access', 'chemical', 'entrez', 'gateway', 'million', 'ncbi', 'programmatic', 'pubchem', 'rest', 'soap', 'unique', 'utilities']",dna-sequence-databases,"['dna-sequence-databases', 'gene-expression-microarray', 'information-extraction', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-transcription-databases']"
5,"['Designing of peptides with desired half-life in intestine-like environment.', '25141912']","['ctl', 'epitopes', 'vaccine', 'virus']",immunology,"['immunology', 'peptide-databases', 'rna-transcription-databases']"
6,"['PriVar: a toolkit for prioritizing SNVs and indels from next-generation sequencing data.', '23104884']","['algorithms', 'applicability', 'circuits', 'dependency', 'governing', 'manipulations', 'metabolic', 'modulation', 'prevalence', 'regulator', 'regulatory', 'reliability', 'strain', 'tr']",metagenomics,"['chip-seq', 'dna-sequence-databases', 'immunology', 'metagenomics', 'protein-interaction-analysis', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
7,"['miReg: a resource for microRNA regulation.', '20693604']","['breakpoints', 'calling', 'consistently', 'deletions', 'discovers', 'effectively', 'genome', 'germline', 'insertions', 'outperformed', 'primarily', 'somatic', 'spanning', 'synthetic', 'tcga', 'tumors', 'utilized']",whole-genome-resequencing,"['acgh-and-snp-microarray', 'chip-seq', 'genome-annotation2', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
8,"['BS-RNA: An efficient mapping and annotation tool for RNA bisulfite sequencing data.', '27647160']","['applied', 'chip', 'dna', 'marks', 'normalization', 'occupancy', 'polymerase', 'remove', 'sample', 'seq']",protein-interaction-analysis,"['chip-seq', 'protein-interaction-analysis', 'rna-seq', 'single-cell-rna-seq', 'whole-genome-resequencing']"
9,"['A Bayesian method for detecting pairwise associations in compositional data.', '29140991']","['advantages', 'antibodies', 'antibody', 'hallmarks', 'heavy', 'microorganisms', 'naturally', 'occurring', 'practice', 'searchable', 'single', 'smaller', 'stability', 'unified', 'unusual']",rna-transcription-databases,"['dna-sequence-databases', 'genome-annotation2', 'immunology', 'peptide-databases', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
10,"['NEMO: a tool for analyzing gene and chromosome territory distributions from 3D-FISH experiments.', '20080510']","['amp', 'antimicrobial', 'cs', 'cysteine', 'kernels', 'peptides', 'polynomial', 'radial']",peptide-databases,"['immunology', 'peptide-databases']"
