,pmid,old_category,new_category
0,24067610,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
1,25940625,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
2,29269730,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
3,28701198,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
4,29893919,3c-4c-5c-hi-c-chia-pet,"{'/chip-seq-category', '/merip-seq-category', '/atac-seq-analysis-category', '/rna-seq-category', '/cage-category', '/3c-4c-5c-hi-c-chia-pet-category', '/dnase-seq-category'}"
5,24710657,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
6,28056762,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
7,27105843,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
8,26936376,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
9,24511080,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
10,26666652,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
11,30064362,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
12,24501021,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
13,28723903,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
14,26686651,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/chia-pet-sequencing-analysis-category'}"
15,26543175,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
16,29901812,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
17,29244056,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
18,23508968,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
19,22941365,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
20,28130423,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
21,22001755,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
22,27153610,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
23,26334796,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
24,25497547,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
25,25240436,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/5c-analysis-category'}"
26,20067643,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
27,26283514,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
28,26704975,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
29,24185095,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
30,27185892,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/chia-pet-sequencing-analysis-category'}"
31,28760140,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
32,23965308,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
33,25132176,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
34,20513432,3c-4c-5c-hi-c-chia-pet,"{'/chip-seq-category', '/single-cell-rna-seq-category', '/merip-seq-category', '/bs-seq-category', '/cage-category', '/gro-seq-category', '/whole-exome-sequencing-category', '/metagenomics-category', '/rad-seq-category', '/rna-seq-category', '/small-rna-seq-category', '/metatranscriptomics-category', '/3c-4c-5c-hi-c-chia-pet-category', '/gene-expression-analysis-category', '/protein-sequence-analysis-category', '/whole-genome-resequencing-category', '/dnase-seq-category', '/rip-seq-clip-seq-category', '/ribo-seq-category', '/de-novo-genome-sequencing-category'}"
35,29950005,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
36,29048467,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
37,26272203,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/cage-category', '/rna-seq-category', '/chip-seq-category'}"
38,22026390,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/5c-analysis-category'}"
39,22559164,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
40,29149264,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
41,25480377,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
42,27233632,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
43,27203237,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
44,27306882,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
45,30143029,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
46,29745835,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
47,28855260,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
48,27467250,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
49,26619908,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
50,28369339,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
51,27467249,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
52,26392354,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
53,25061071,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/fish-1-category', '/fish-2-category'}"
54,29334377,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
55,28137286,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
56,21778530,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
57,23442169,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
58,18840289,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
59,22023820,acgh-and-snp-microarray,"{'/whole-genome-resequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
60,15040819,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
61,17341461,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
62,16787995,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
63,25202135,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
64,19908389,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
65,16716215,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
66,17192189,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
67,21228048,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
68,24587839,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
69,15381628,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
70,23431203,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
71,21884636,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
72,12824351,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
73,25503062,acgh-and-snp-microarray,"{'/snp-array-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/acgh-and-snp-microarray-category', '/whole-genome-resequencing-category', '/de-novo-genome-sequencing-category'}"
74,20071741,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
75,21920941,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
76,21486749,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
77,24305553,acgh-and-snp-microarray,"{'/acgh-and-snp-microarray-category', '/snp-array-category', '/gene-expression-microarray-category'}"
78,18024967,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
79,23742665,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
