Main,Sub1,number of tools 1,Sub2,number of tools 2
/metabolomics-category,/13c-fluxomics-category,35,/data-analysis-2-category,35
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/circular-visualization-category,1
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/differential-loops-analysis-category,1
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/a-b-compartments-prediction-category,2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/centromere-calling-category,2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/data-simulation-1-category,2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/normalization-6-category,2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/spatial-gene-clustering-category,2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/enhancer-target-gene-prediction-category,3
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/chromatin-interaction-network-analysis-category,4
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/hybridization-capture-category,4
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/assembly-scaffolding-1-category,6
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/data-visualization-2-category,6
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/differential-interactions-analysis-category,8
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/quality-control-category,10
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/read-alignment-1-category,10
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/unclassified-software-category,10
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/peak-calling-1-category,11
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/data-integration-category,13
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/batch-effect-correction-1-category,19
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/pipelines-category,19
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/heatmap-generation-1-category,21
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/contact-map-generation-category,22
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/contact-matrix-normalization-category,24
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/domain-calling-category,31
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/3d-structure-prediction-category,32
